File,sep= Submitting Device,Device User,Form Completed,Upload Completed,Submission ID,Submission ID generated by device,Tree Barcode - 树条码,Tree Barcode - 树条码 : timestamp,Tree Barcode - 树条码 : geostamp,Tree Status - 树状态 : Tree Vitality Score Guide - 树活力评分指南,Tree Status - 树状态 : Tree Vitality Score - 树活力评分,Tree Status - 树状态 : Tree Vitality Score - 树活力评分 : timestamp,Tree Status - 树状态 : Tree Vitality Score - 树活力评分 : geostamp,Tree Status - 树状态 : Tree Status Image - 树状态图像,Tree Status - 树状态 : Tree Symptom  -  树症状,Tree Status - 树状态 : Twig symptom - 树枝症状,Tree Status - 树状态 : Twig Vitality Score - 树活力评分,Tree Status - 树状态 : Branch symptom - 分支症状,Tree Status - 树状态 : Branch Vitality Score - 树活力评分,Tree Status - 树状态 : Trunk symptom - 躯干症状,Tree Status - 树状态 : Trunk Vitality Score - 树活力评分,Tree Status - 树状态 :  Leaves symptom - 叶子症状,Tree Status - 树状态 : Leaves Vitality Score - 树活力评分,Tree Status - 树状态 : Bark symptom - 树皮症状,Tree Status - 树状态 : Bark Vitality Score - 树活力评分,Tree Status - 树状态 : Fungi symptom - 真菌症状,Tree Status - 树状态 : Sap sucker symptom - 啄木鸟啄食症状,Tree Status - 树状态 : Other damage - 其他损坏,Tree Status - 树状态 : Tree images -  树 图片 : Tree Status image  - 树状态和损坏图像,Tree Status - 树状态 : Tree images -  树 图片 : Twig symptom - 树枝症状,Tree Status - 树状态 : Tree images -  树 图片 :  Branch symptom - 分支症状,Tree Status - 树状态 : Tree images -  树 图片 : Trunk symptom - 躯干症状,Tree Status - 树状态 : Tree images -  树 图片 :  Leaves symptom - 叶子症状,Tree Status - 树状态 : Tree images -  树 图片 : Bark symptom - 树皮症状,Tree Status - 树状态 : Tree images -  树 图片 : Fungi symptom - 真菌症状,Tree Status - 树状态 : Tree images -  树 图片 : Sap sucker symptom - 吸液器症状,Tree Status - 树状态 : Tree images -  树 图片 : Other damage - 其他损坏,Tree Status - 树状态 : Tree Status Notes - 树状态说明,Beetle Observation - 甲虫观察 : Beetle Count - 甲虫计数,Beetle Observation - 甲虫观察 : Beetle Count - 甲虫计数 : timestamp,Beetle Observation - 甲虫观察 : Beetle Count - 甲虫计数 : geostamp,Beetle Observation - 甲虫观察 : Beetle Family -  甲虫家族,Beetle Observation - 甲虫观察 : Beetle Family -  甲虫家族 : timestamp,Beetle Observation - 甲虫观察 : Beetle Family -  甲虫家族 : geostamp,Beetle Observation - 甲虫观察 : Beetle Genus - 甲虫属,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 : timestamp,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : timestamp,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : geostamp,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 2,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : timestamp 2,Beetle Observation - 甲虫观察 : Beetle Species -  甲虫种类 : geostamp 2,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 2,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 : timestamp 2,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 3,Beetle Observation - 甲虫观察 : Beetle Subfamily - 亚科/种类,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 4,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 5,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 6,Beetle Observation - 甲虫观察 : Beetle Genus -  甲虫属 7,Beetle Observation - 甲虫观察 : Add New Beetle - 添加新甲壳虫,Beetle Observation - 甲虫观察 : Add New Beetle - 添加新甲壳虫 : timestamp,Beetle Observation - 甲虫观察 : Add New Beetle - 添加新甲壳虫 : geostamp,Beetle Observation - 甲虫观察 : Beetle Image - 甲虫图片 : Beetle Image - 甲虫图片,Beetle Observation - 甲虫观察 : Beetle evidence images - 甲虫证据图片 : Beetle Image - 甲虫图片,Beetle Observation - 甲虫观察 : Beetle Notes -  笔记,Beetle Observation - 甲虫观察 : Beetle code ID,Beetle Observation - 甲虫观察 : Beetle code ID - 甲壳虫代码 ID,Beetle Observation - 甲虫观察 : Beetle code ID - 甲壳虫代码 ID : timestamp,Beetle Observation - 甲虫观察 : Beetle code ID - 甲壳虫代码 ID : geostamp,Beetle Observation - 甲虫观察 : Beetle_Observation_______/Beetle_code_ID_hidden,Beetle Observation - 甲虫观察 : Beetle_Observation_______/Beetle_code_ID_hidden : timestamp,Beetle Observation - 甲虫观察 : Beetle_Observation_______/Beetle_code_ID_hidden : geostamp,Beetle Observation - 甲虫观察 : Observation ID - 观察 ID,Beetle Observation - 甲虫观察 : Observation ID - 观察 ID : timestamp,Beetle Observation - 甲虫观察 : Observation ID - 观察 ID : geostamp,Beetle Observation - 甲虫观察 : Beetle_Observation_Index_value,Beetle Observation - 甲虫观察 : Time_of_recording,Beetle Observation - 甲虫观察 : Time_of_recording : timestamp,Notes -  笔记
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:01:52 -04:00,2022-06-09 15:02:26 +00:00,71277963,300D6850-C456-473C-A391-5D790352EDB9,14035078,2022-06-09 11:01:21,"lat=29.727518, long=-82.395310, alt=54.620445, hAccuracy=2618.429169, vAccuracy=7.693405, timestamp=2022-06-09T15:01:16Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,"Wilting - 枯萎,Spots - 斑点",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/2b341300-ca33-013a-d747-069c93e2e683,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/2d545230-ca33-013a-d747-069c93e2e683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:05:25 -04:00,2022-06-09 15:07:46 +00:00,71278134,835AED00-7CAC-412D-8D72-157BF1BA0727,14035086,2022-06-09 11:03:44,"lat=29.719127, long=-82.413303, alt=54.620445, hAccuracy=26.981292, vAccuracy=6.458332, timestamp=2022-06-09T15:03:41Z",,8 - Mostly healthy (one twig wilting; or some leaves slightly curled up) - 大部分是健康的（一根树枝枯萎；或一些叶子稍微卷曲）,,,,"Leaves - 树叶,Bark - 树皮",,,,,,,Wilting - 枯萎,,Resin/sap flows out - 树脂/树液流出,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/eb629620-ca33-013a-8f0e-22f9dc6b4e7b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/ed1b3ad0-ca33-013a-8f0e-22f9dc6b4e7b,http://app.devicemagic.com/organizations/261690/stored_files/v2/eec9e620-ca33-013a-8f0e-22f9dc6b4e7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:08:36 -04:00,2022-06-09 15:10:40 +00:00,71278246,4EADB7B5-DEB3-4207-9F0D-DD308467EBA4,14035093,2022-06-09 11:07:49,"lat=29.719127, long=-82.413303, alt=54.621075, hAccuracy=26.981292, vAccuracy=4.912431, timestamp=2022-06-09T15:07:46Z",,8 - Mostly healthy (one twig wilting; or some leaves slightly curled up) - 大部分是健康的（一根树枝枯萎；或一些叶子稍微卷曲）,,,,Leaves - 树叶,,,,,,,"Wilting - 枯萎,Leaf discoloration - 叶变色",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/529669a0-ca34-013a-501e-5a9715e6f14b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/53e519e0-ca34-013a-501e-5a9715e6f14b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:11:16 -04:00,2022-06-09 15:11:47 +00:00,71278286,C95DF3A4-F96E-43AB-BE67-AD384B4BD4C8,14035083,2022-06-09 11:10:42,"lat=29.716426, long=-82.420095, alt=54.620445, hAccuracy=1214.293263, vAccuracy=6.106153, timestamp=2022-06-09T15:10:40Z",,3 - Probably dying - 大概要死了,,,,,,,,,,,,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/791af450-ca34-013a-4b25-16cf95414f2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:13:25 -04:00,2022-06-09 15:13:39 +00:00,71278350,A27FD0E3-9497-49FD-A145-939669DD0712,14035095,2022-06-09 11:12:53,"lat=29.718979, long=-82.413252, alt=55.150789, hAccuracy=77.618887, vAccuracy=15.330621, timestamp=2022-06-09T15:12:52Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,Wilting - 枯萎,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/ba050540-ca34-013a-362b-1e8584d0a97b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/bb906540-ca34-013a-362b-1e8584d0a97b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:15:29 -04:00,2022-06-09 15:17:37 +00:00,71278501,CAD9D577-D463-4E89-917C-58625FE71A7E,14035089,2022-06-09 11:14:46,"lat=29.722263, long=-82.406562, alt=54.620636, hAccuracy=1486.530367, vAccuracy=6.261856, timestamp=2022-06-09T15:14:44Z",,8 - Mostly healthy (one twig wilting; or some leaves slightly curled up) - 大部分是健康的（一根树枝枯萎；或一些叶子稍微卷曲）,,,,Leaves - 树叶,,,,,,,"Wilting - 枯萎,Spots - 斑点",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/4a4d9cc0-ca35-013a-7040-5e40c6c33b4f,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/4c1939b0-ca35-013a-7040-5e40c6c33b4f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:19:18 -04:00,2022-06-09 15:20:16 +00:00,71278621,A2B39141-E789-425C-8781-4B97115C6353,14035092,2022-06-09 11:17:42,"lat=29.718884, long=-82.413350, alt=53.866042, hAccuracy=108.325774, vAccuracy=145.342800, timestamp=2022-06-09T15:17:41Z",,8 - Mostly healthy (one twig wilting; or some leaves slightly curled up) - 大部分是健康的（一根树枝枯萎；或一些叶子稍微卷曲）,,,,Leaves - 树叶,,,,,,,"Wilting - 枯萎,Leaf discoloration - 叶变色",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/aaee3f50-ca35-013a-b102-62288a48a7aa,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/ac327d10-ca35-013a-b102-62288a48a7aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:19:18 -04:00,2022-06-09 15:20:16 +00:00,71278621,A2B39141-E789-425C-8781-4B97115C6353,14035092,2022-06-09 11:17:42,"lat=29.718884, long=-82.413350, alt=53.866042, hAccuracy=108.325774, vAccuracy=145.342800, timestamp=2022-06-09T15:17:41Z",,8 - Mostly healthy (one twig wilting; or some leaves slightly curled up) - 大部分是健康的（一根树枝枯萎；或一些叶子稍微卷曲）,,,,Leaves - 树叶,,,,,,,"Wilting - 枯萎,Leaf discoloration - 叶变色",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/ad533f00-ca35-013a-b102-62288a48a7aa,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/af9a2770-ca35-013a-b102-62288a48a7aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:23:10 -04:00,2022-06-09 15:24:59 +00:00,71278800,695FB776-E128-4A24-A71E-76214C286968,14035072,2022-06-09 11:20:11,"lat=29.722156, long=-82.407653, alt=54.632832, hAccuracy=880.331798, vAccuracy=8.057767, timestamp=2022-06-09T15:20:08Z",,4 - Severely stressed (leaves falling off or bark cracking) -  压力过大（叶子脱落或树皮开裂）,,,,Leaves - 树叶,,,,,,,Wilting - 枯萎,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/51891d20-ca36-013a-cb1c-521151aceb51,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/53d46e60-ca36-013a-cb1c-521151aceb51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:25:52 -04:00,2022-06-09 15:26:18 +00:00,71278856,29D5ACE5-1BF9-46F9-9D74-2E010C5A30C6,14035075,2022-06-09 11:25:02,"lat=29.720693, long=-82.430606, alt=54.620449, hAccuracy=4040.655763, vAccuracy=6.538713, timestamp=2022-06-09T15:25:01Z",,10 - Vigorous (not a single issue) - 有力的（不是一个问题）,,,,,,,,,,,,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/7d20c480-ca36-013a-2145-064efdbf149b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:30:59 -04:00,2022-06-09 15:32:55 +00:00,71279053,7ABDC183-A692-4E99-A37C-D5432F0AAA7D,14035082,2022-06-09 11:29:38,"lat=29.719011, long=-82.413347, alt=55.014802, hAccuracy=79.499006, vAccuracy=15.941582, timestamp=2022-06-09T15:29:37Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,"Wilting - 枯萎,Leaf discoloration - 叶变色",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/6a6587a0-ca37-013a-ab6b-66595d801967,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/6caa1c30-ca37-013a-ab6b-66595d801967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:32:08 -04:00,2022-06-09 15:33:50 +00:00,71279086,1CB8E354-6DF7-4C72-860E-3328A41F8185,14035099,2022-06-09 11:31:34,"lat=29.719127, long=-82.413303, alt=54.658035, hAccuracy=26.981292, vAccuracy=9.254982, timestamp=2022-06-09T15:31:30Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,Spots - 斑点,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/8b936600-ca37-013a-3df3-1ab9696a9862,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/8d7230f0-ca37-013a-3df3-1ab9696a9862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:38:04 -04:00,2022-06-09 15:40:15 +00:00,71279335,79E6E169-B8A2-4B15-B927-A390FBAE8B7C,14035074,2022-06-09 11:37:15,"lat=29.720070, long=-82.418046, alt=54.620548, hAccuracy=1748.049360, vAccuracy=8.702631, timestamp=2022-06-09T15:37:13Z",,4 - Severely stressed (leaves falling off or bark cracking) -  压力过大（叶子脱落或树皮开裂）,,,,Leaves - 树叶,,,,,,,Wilting - 枯萎,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/710f31e0-ca38-013a-83ac-2e470b9f0924,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/728db340-ca38-013a-83ac-2e470b9f0924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:35:41 -04:00,2022-06-16 13:06:04 +00:00,71508677,CABC8E83-D630-4EE5-9810-BF67937B1606,14035096,2022-06-09 11:33:32,"lat=29.719131, long=-82.413471, alt=55.083668, hAccuracy=28.119733, vAccuracy=17.862590, timestamp=2022-06-09T15:33:32Z",,8 - Mostly healthy (one twig wilting; or some leaves slightly curled up) - 大部分是健康的（一根树枝枯萎；或一些叶子稍微卷曲）,,,,Leaves - 树叶,,,,,,,"Wilting - 枯萎,Leaf discoloration - 叶变色",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/14b340b0-cfa3-013a-7f65-06faa26e22ff,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/17390700-cfa3-013a-7f65-06faa26e22ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-09 11:41:27 -04:00,2022-06-16 13:06:15 +00:00,71508694,FD060F35-565F-4683-B5D9-30670A1AC36B,14035079,2022-06-09 11:40:22,"lat=29.719153, long=-82.413491, alt=55.101044, hAccuracy=31.872606, vAccuracy=14.992544, timestamp=2022-06-09T15:40:22Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,"Leaf rolling - 卷叶,Wilting - 枯萎,Spots - 斑点,Leaf discoloration - 叶变色",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/1a3a6ca0-cfa3-013a-b0ba-065211ebccce,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/1c11ad00-cfa3-013a-b0ba-065211ebccce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-16 09:08:23 -04:00,2022-06-16 13:08:34 +00:00,71508800,D3109F29-BF50-4378-90D3-AEE00CCC1158,14035077,2022-06-16 09:05:57,"lat=29.720597, long=-82.399488, alt=52.499878, hAccuracy=1414.000000, vAccuracy=7.065338, timestamp=2022-06-16T13:05:54Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,Wilting - 枯萎,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/6af2aea0-cfa3-013a-7828-56f954099106,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/6cd6c950-cfa3-013a-5d4b-26405326118f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-16 09:12:20 -04:00,2022-06-16 13:14:23 +00:00,71509046,0B429100-2C08-4ABD-8FBC-0F85B58DC6C1,14035073,2022-06-16 09:11:47,"lat=29.725464, long=-82.402197, alt=52.485542, hAccuracy=2038.446939, vAccuracy=6.772157, timestamp=2022-06-16T13:11:44Z",,4 - Severely stressed (leaves falling off or bark cracking) -  压力过大（叶子脱落或树皮开裂）,,,,Leaves - 树叶,,,,,,,Wilting - 枯萎,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/3ad47be0-cfa4-013a-6061-6ef3000c99b8,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/3c248a20-cfa4-013a-6061-6ef3000c99b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-16 09:20:42 -04:00,2022-06-16 13:21:10 +00:00,71509337,B23D1F09-98A1-4EB1-9F26-831A26D83315,14035071,2022-06-16 09:16:52,"lat=29.719000, long=-82.413192, alt=52.523621, hAccuracy=200.000000, vAccuracy=17.072855, timestamp=2022-06-16T13:16:51Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,"Leaf rolling - 卷叶,Wilting - 枯萎,Leaf discoloration - 叶变色",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/336d0650-cfa5-013a-0169-0e737919175a,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/35afd240-cfa5-013a-0169-0e737919175a,,,,,2 katydids on the tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-16 09:20:42 -04:00,2022-06-16 13:21:10 +00:00,71509337,B23D1F09-98A1-4EB1-9F26-831A26D83315,14035071,2022-06-16 09:16:52,"lat=29.719000, long=-82.413192, alt=52.523621, hAccuracy=200.000000, vAccuracy=17.072855, timestamp=2022-06-16T13:16:51Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,"Leaf rolling - 卷叶,Wilting - 枯萎,Leaf discoloration - 叶变色",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/37d742a0-cfa5-013a-0169-0e737919175a,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/39898c50-cfa5-013a-0169-0e737919175a,,,,,2 katydids on the tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-16 09:22:17 -04:00,2022-06-16 13:24:34 +00:00,71509434,1D63CC94-DFB0-4A44-86C7-9C70C5F14EB8,14035076,2022-06-16 09:21:35,"lat=29.719125, long=-82.413349, alt=55.366567, hAccuracy=83.242434, vAccuracy=15.699270, timestamp=2022-06-16T13:21:34Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,Wilting - 枯萎,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/a7611140-cfa5-013a-5999-76cdbee3a1b5,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/a8f57af0-cfa5-013a-5999-76cdbee3a1b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-16 09:27:54 -04:00,2022-06-16 13:29:18 +00:00,71509639,152D4B96-39E2-4A9E-B127-EC0BEF3DCA4A,14035094,2022-06-16 09:24:37,"lat=29.716761, long=-82.418634, alt=52.492741, hAccuracy=3155.784608, vAccuracy=6.537913, timestamp=2022-06-16T13:24:34Z",,8 - Mostly healthy (one twig wilting; or some leaves slightly curled up) - 大部分是健康的（一根树枝枯萎；或一些叶子稍微卷曲）,,,,"Leaves - 树叶,Other - 其他",,,,,,,"Wilting - 枯萎,Leaf discoloration - 叶变色",,,,,,A resin-like droplet on a leaf,http://app.devicemagic.com/organizations/261690/stored_files/v2/526f7300-cfa6-013a-eb42-628afc5be39b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/53f146d0-cfa6-013a-eb42-628afc5be39b,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/557ec1f0-cfa6-013a-eb42-628afc5be39b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-16 09:30:06 -04:00,2022-06-16 13:30:15 +00:00,71509690,353F496F-12C8-4A11-97D7-DDB8EF4363E9,14035091,2022-06-16 09:29:11,"lat=29.719144, long=-82.413163, alt=54.893169, hAccuracy=48.037064, vAccuracy=13.796315, timestamp=2022-06-16T13:29:10Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,"Wilting - 枯萎,Spots - 斑点,Leaf discoloration - 叶变色",,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/7778f590-cfa6-013a-ddd1-1e28be03dbad,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/78880600-cfa6-013a-7214-2eeed6c916d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-16 09:33:48 -04:00,2022-06-16 13:33:58 +00:00,71509868,F6A26DFB-6940-4E50-B195-DE101ADE8E15,14035097,2022-06-16 09:30:58,"lat=29.719080, long=-82.413503, alt=55.137599, hAccuracy=56.590736, vAccuracy=15.459383, timestamp=2022-06-16T13:30:58Z",,8 - Mostly healthy (one twig wilting; or some leaves slightly curled up) - 大部分是健康的（一根树枝枯萎；或一些叶子稍微卷曲）,,,,"Leaves - 树叶,Other - 其他",,,,,,,"Wilting - 枯萎,Spots - 斑点,Leaf discoloration - 叶变色",,,,,,A resin-like droplet on a leaf,http://app.devicemagic.com/organizations/261690/stored_files/v2/f9989220-cfa6-013a-dbf9-4e2483fae3c6,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/fb712b40-cfa6-013a-dbf9-4e2483fae3c6,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/fdee6580-cfa6-013a-dbf9-4e2483fae3c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Surveying Form - 树木测量表 (16).csv,iPhone_496ED40C-9107-4CEA-B754-C381BA556A34,Lyuyi Chen,2022-06-16 09:38:11 -04:00,2022-06-16 13:38:25 +00:00,71510008,03F9F568-F179-4AE3-96E7-5217A824C204,14035080,2022-06-16 09:36:40,"lat=29.719164, long=-82.413329, alt=54.873977, hAccuracy=14.056611, vAccuracy=17.366139, timestamp=2022-06-16T13:36:40Z",,9 - Very healthy (some leaves with individual issues) - 非常健康（有些叶子有个别问题）,,,,Leaves - 树叶,,,,,,,Extensive chewing - 大量咀嚼,,,,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/9692e9b0-cfa7-013a-b0ba-065211ebccce,,,,http://app.devicemagic.com/organizations/261690/stored_files/v2/9841ba50-cfa7-013a-b0ba-065211ebccce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
